,text,sentic_polarity,vader_sentiments,textblob_subjectivity,textblob_polarity,textblob_analysis
18,speak immigration experts contact us apply 1 647 992 2483 canadaimmigration canada immigration canadavisa studyincanada canadapr expressentry immigrationconsultant visa sayhomecanadaimmigration ontario nigeria nigerian brampton burlington,NEUTRAL,NEUTRAL,0.0,0.0,NEUTRAL
19,immigration officers check facebook marriage greencard interview,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
20,nobody blames ukranian refugees refugees extend courtesy refugees color forced flee homes various forces beyond control immigration,POSITIVE,NEGATIVE,0.35,-0.15000000000000002,NEGATIVE
21,christianity calls liberal jesus loving helping immigrants poor hungry sick elderly christian left discovered alone please support link immigration progressive,POSITIVE,POSITIVE,0.48142857142857143,-0.10285714285714287,NEGATIVE
22,current reading published currentreading currentlyreading versobooks iansanjaypatel drianpatel immigration endofempire,POSITIVE,NEUTRAL,0.4,0.0,NEUTRAL
23,info pass emergencies inmigraci n immigration dreamers2gether immigrationmatters sisepuede ap advanceparole daca latinos sonadores uscis,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
24,twice twice twice yeah go vote fuckin biden twice openborders immigration election,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
25,applications advance parole daca send arizona inmigraci n immigration dreamers2gether immigrationmatters sisepuede ap advanceparole tiktok,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
26,share securethetribe savemasontn atl usa negro lineage pro reparations ab3121 exclusively lineage amp pro immigration moratorium,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
27,immigration believe either side,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
28,border report ukraine ukrainerussiawar ukrainerussia ukrainerussiaconflict trafficking migration asylum immigration refugee refugeeswelcome refugeesneedhelp,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
29,let talk crazy money covid relief let open borders let thousands unvaccinated covid19 bidenbordercrisis immigration ridiculous,POSITIVE,NEGATIVE,0.7999999999999999,-0.3111111111111111,NEGATIVE
30,phenomenal story learning experiences following family beliefs traditions topical read book33 70booksin52weeks barrington220reads immigration respect growth,POSITIVE,POSITIVE,0.21666666666666667,0.16666666666666666,POSITIVE
31,notice refusal use minority leader promised immigration laws government shutdown said yes gop tax giveaway rich said buildbackbetter old geezer people kentucky better,POSITIVE,POSITIVE,0.48333333333333334,0.325,POSITIVE
32,let talk crazy money covid relief let open borders let thousands unvaccinated covid19 immigration bidenbordercrisis,POSITIVE,POSITIVE,0.7,-0.3,NEGATIVE
33,recession 1921 2 led employer efforts roll back wages labor unrest ensued written barre granite strike journal walkouts also occurred textiles immigration labor ushistory,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
34,wearing one fav shirts lots next 7 hours little book spot immigration proudimmigrant imakeamericagreat madebyimmigrants,POSITIVE,POSITIVE,0.25,-0.09375,NEGATIVE
35,eu airdropped euros poor countries could help economic growth prevent migration eurozone humanity immigration,POSITIVE,POSITIVE,0.4,-0.1,NEGATIVE
36,let talk crazy money covid relief let open borders let thousands unvaccinated covid19 biden bidenbordercrisis obama immigration,POSITIVE,POSITIVE,0.7,-0.3,NEGATIVE
37,let talk crazy money covid relief let open borders let thousands unvaccinated covid19 immigration bidenbordercrisis breakingnews,POSITIVE,POSITIVE,0.7,-0.3,NEGATIVE
38,song sora creators thankyouforreading historicalfiction contestentry titanicanniversary gypsy creativewriting writer bloggingbeesrt bloggingbabesrt immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
39,texas love sentiments could apply fl etc power vote kind compassionate hardworking problem solving leaders vote love immigration,POSITIVE,POSITIVE,0.7000000000000001,0.5333333333333333,POSITIVE
40,enough said increase immigration ease job market usa economy hurt labor shortages economics economic,POSITIVE,NEGATIVE,0.35,0.1,POSITIVE
41,pritipatel justification uk horrible ukraine immigration policy portraying refugees possible spies dissimilar putin attempt brainwash russians ukraine ruled neo nazis torylies,NEGATIVE,NEGATIVE,1.0,-0.5,NEGATIVE
42,border costs soar questions abound much longer texas afford keep ongoing surge troopers soldiers amp explore txlege immigration migrants gregabbott border campaign2022 texas title42,POSITIVE,NEUTRAL,0.2,0.2,POSITIVE
43,continuation schengen visa immigrants enjoy benefit schengen agreement read doityourselfimmigration diysi travel immigration studyabroad workabroad educationalroad career internationalstudent,POSITIVE,POSITIVE,0.5,0.4,POSITIVE
44,freedomisntfree earned fought died protected please appreciate amp thank sacrifice much argue amp debate criticalracetheory immigration climatechange electionlaw racism america landofthefree homeofthebrave agreed,POSITIVE,NEGATIVE,0.2,0.2,POSITIVE
45,cdes malema provide leadership required fix immigration afrophobia crisis face region reflected reactionary movements like operationdudula elders sleeping,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
46,thinking immigration related website get domain buy details queries domains visit website domains website domainnames hosting webdesign domain financial,POSITIVE,NEUTRAL,0.2,0.0,NEUTRAL
47,ukrainian sponsorship scheme introduced uk government part response ukrainian refugee crisis information immigration settlement ukraine law notarypublic immigrationnews,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
48,immigration become area focus bidenadministration interviewwaiver options india i485 update deportation policy change i751 ustraveldocs dhs i9 usvisaapplicants i140 immigrationlaw,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
49,fred feldman sheds light onto years longs remain remembered honoured brilliant skill immigration ww2 holocaust jewishlife history,POSITIVE,POSITIVE,0.85,0.65,POSITIVE
50,put charge immigration really fire border stuff right,NEGATIVE,NEGATIVE,0.3678571428571429,0.24285714285714285,POSITIVE
51,collective exhibition young syrian artists shown samer kuzah art gallery amp streets around old damascus installations using fake pigeons amp objects represents aspects life syria war amp immigration,POSITIVE,NEGATIVE,0.5333333333333333,-0.09999999999999999,NEGATIVE
52,stephenkinnock shadow minister immigration demanding homesecretary pritipatel name eight russian sanctions list publish long withheld report scrapped visa purchase programme,NEGATIVE,NEGATIVE,0.2,-0.025,NEGATIVE
53,mgl co director speaking governance xenophobia immigration southafrica comments highlight need empirically informed analysis mobility governance scales qeh,POSITIVE,POSITIVE,0.1,0.1,POSITIVE
54,passing immigration bill secure border seems bass ackwards securing border discussing immigration sounds much reasonable letsgobrandon usa bringbacktrump,POSITIVE,POSITIVE,0.5666666666666668,0.15,POSITIVE
55,mean take seriously certain point gotta admit pretty funny next president gonna smartest candidate college degree openborders election immigration biden biden2024,POSITIVE,POSITIVE,0.6517857142857142,0.08035714285714286,POSITIVE
56,republicans right rail illegal immigration also see enormous opportunity build relationship immigrants says basile gop immigration,POSITIVE,NEGATIVE,0.6452380952380952,-0.07142857142857144,NEGATIVE
57,disagreement delay infighting border divided white house daca immigration immigrationreform joebiden elsalvador mexico venezuela guatemala asylum tps visas citizenship gop migrants ice borderpatrol,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
58,title 42 coming foreign invasion united states epicbidenfail immigration illegalaliens bordersecurity bumblesdementia maga,POSITIVE,POSITIVE,0.125,-0.125,NEGATIVE
59,considering moving turkey visalobby visa immigration life turkey istanbul work live blog study business,POSITIVE,NEUTRAL,0.5,0.13636363636363635,POSITIVE
60,trump biden opening floodgates tidal wave immigration trump biden opening floodgates tidal wave immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
61,amazon raises prime membership rates canadians 1st time full article canadanews immigration immigrationnews cdnimm canada toronto cisnews amazon raises prime membership subscription service offers freeshipment platform,POSITIVE,POSITIVE,0.275,0.22499999999999998,POSITIVE
62,unemployment rate among canadian immigrants historic low full article canadanews immigration immigrationnews cdnimm canada toronto cisnews unemployment rate canadian immigrants historic record statistics labourforcesurvey,NEGATIVE,NEGATIVE,0.21250000000000002,0.0875,POSITIVE
63,quebec ontario migration reversed 2021 full article canadanews immigration immigrationnews cdnimm canada toronto cisnews migration reversed caravan moving truck heading west highway symbol decline montreal quebeckers,POSITIVE,NEUTRAL,0.55,0.35,POSITIVE
64,apply parent grandparent super visa full article canadanews immigration immigrationnews cdnimm canada toronto cisnews apply parent grandparent supervisa temporaryvisa attractive citizenship ircc,POSITIVE,POSITIVE,0.7388888888888889,0.49444444444444446,POSITIVE
65,immigration schemes need revision tackle farming staff shortage say mps immigration agriculture recruitment hr visas,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
66,still worried immigrating canada contact zsr immigration today let us help immigration journey immigration immigrationcanada immigrationlawyer immigratetocanada immigrationconsultant zsrimmigration,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
67,share securethetribe savemasontn south carolina debate verzuz topics 1 40 acres mule reparations 2 immigration moratorium nfl nba,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
68,unjustified detention restrictions freedom assault arrest become norm unjust torture nagoya regional immigration bureau sri lankan woman dies hunger japanese detention justiceforwishma immigration japan srilanka human illegal,NEGATIVE,NEGATIVE,0.15,-0.1375,NEGATIVE
69,pakistan immigration authorities high alert catch fleeing govt officials imrankhan ouster,POSITIVE,POSITIVE,0.5399999999999999,0.16,POSITIVE
70,spot costoflivingcrisis voters think pointless virtue signalling image posturing also immigration amp lawandorder energycrisis toryincompetence,POSITIVE,POSITIVE,0.5,-0.25,NEGATIVE
71,immigration time consuming process delays serious impact business see team helps process immigrationlawyer canadianimmigration usmca,POSITIVE,POSITIVE,0.6666666666666666,-0.3333333333333333,NEGATIVE
72,know work canada even visitor read along find immigratetocanada canadianimmigration canadavisa canada immigration canadapr canadalife immigrationconsultant,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
73,complete utter fool man let build good farmland food shortages increasing amp prices rocketing let build yet floodplains amp blame climatechange let even people arriving open door immigration idiot,POSITIVE,NEGATIVE,0.6599999999999999,-2.2204460492503132e-17,NEGATIVE
74,high court middelkamp v minister justice amp equality 2 administrative immigration visaapplication judicialreview exceptionalpublicimportance shorttermentrants echr righttoprivateandfamilylife resources,POSITIVE,POSITIVE,0.5399999999999999,0.16,POSITIVE
75,day 23 since applying little ukrainian family visa beyond joke visa immigration ukrainecrisis refugees tinychildren fgs,POSITIVE,POSITIVE,0.5,-0.1875,NEGATIVE
76,another cost increasing immigration increased office personnel space handle ever growing court cases federal immigration agency seals lease deal big concord expansion via,POSITIVE,POSITIVE,0.1,0.0,NEUTRAL
77,yes join military help parents obtain legal status applying military parole place applies active duty amp veterans military veterans activeduty immigration undocumented lawtwitter america unitedstates strongertogether unidos love,POSITIVE,POSITIVE,0.2833333333333334,0.044444444444444446,POSITIVE
78,immigration high alert airports breaking news watch capitaltv immigration alert airports breaking,POSITIVE,POSITIVE,0.5399999999999999,0.16,POSITIVE
79,conducting smear campaign us opposing h1b et al unlawful immigration high levels immigration etc implicitly lumping us w white supremacists shades basketofdeplorables,NEGATIVE,NEGATIVE,0.26999999999999996,0.08,POSITIVE
80,happy ram navami may blessings lord ram showered upon family happyramanavami lordrama festival celebration bestwishes immigration migrate novaturientvisas bangalore hyderabad pondicherry delhi pune goa uk,POSITIVE,POSITIVE,1.0,0.8,POSITIVE
81,om overseas mentor wishes happy ram navami call us 9646570009 visit address scf 36 2nd floor phase 10 mohali pb studyincanada studyvisa immigration visaexperts overseas overseasmentor overseasmohali canada uk australia,POSITIVE,POSITIVE,0.5,0.4,POSITIVE
82,dynamic change foreign born population independent impact americans view unauthorized legal immigration argue james laurence amp harris hyun soo kim,NEGATIVE,POSITIVE,0.15416666666666667,0.018750000000000003,POSITIVE
83,may lord ram shower divine blessings family happy ram navami website boiservices boi maharamnavmi2022 immigration instagram,POSITIVE,POSITIVE,1.0,0.8,POSITIVE
84,french left refused get questions security immigration islam every time topics come say right wing topics people say ok right rightwing lepen identity,POSITIVE,POSITIVE,0.3142857142857142,0.21428571428571427,POSITIVE
85,definition unity ancestors country pre post usa share securethetribe savemasontn ab3121 chicago chi office new americans cities usa pro reparations lineage amp immigration moratorium dnc gop,POSITIVE,POSITIVE,0.45454545454545453,0.13636363636363635,POSITIVE
86,speaks cruel immigration system justiceforrefugees palmsunday2022 auspol voteforcompassion,NEGATIVE,NEGATIVE,1.0,-1.0,NEGATIVE
87,albanese amp labor alp always weak type thing allow foreign temporary workers become citizens reduce wages burden schools hospitals amp housing likely vote alp ausvotes immigration,NEGATIVE,NEGATIVE,0.5833333333333334,-0.16666666666666666,NEGATIVE
88,small community great values symbol trust save huge adao immigration investor programs startupvisa programs mortgage lending amp borrowing nftart custom nftcommumity marketing art talented nftartist,POSITIVE,POSITIVE,0.7374999999999999,0.41250000000000003,POSITIVE
89,call us know application process 91 9711578747 usa didyouknow facts mba sundayvibes morningsunshine applications processdriven canada neet goals aims neet2022 mbbsd doctor spiritualawakening immigration consultant gurgaon gurugram delhi ncr,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
90,entering deglobalization reports 2008 2019 world trade relative global gdp fell 5 new tariffs barriers trade immigration flows slowed global flows long term investment fell 50 2016 2019,POSITIVE,NEUTRAL,0.1709090909090909,0.01727272727272727,POSITIVE
91,ram setu lord ram path success let first step immigration path success step right path achieve life goals wishing happyramnavami ram jayshriram ramnavami2022 ramnavami canada visa sinp immigration,POSITIVE,POSITIVE,0.21726190476190477,0.2839285714285714,POSITIVE
92,president biden released proposed budget fiscal year 2023 includes immigration immigration biden,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
93,america labor shortage actually immigrant shortage immigration americanimmigrants,NEGATIVE,NEGATIVE,0.1,0.0,NEUTRAL
94,jesus taught us expects us live love others much provide medical care sick aca turn cheek non violence feed hungry snap welcome refugees immigration jesus taught voteblue christianity,POSITIVE,POSITIVE,0.5095238095238095,0.1536796536796537,POSITIVE
95,new openaccess article jems challenges assumptions media influence immigration attitudes k kondor mihelj v tka amp f th draw data east europe amp problematise relation public service media consumption negative attitudes immigration 1 2,POSITIVE,NEGATIVE,0.3070707070707071,-0.05454545454545454,NEGATIVE
96,tonight hitthemwiththelove 13k streams newmusic gaymusic immigration justiceisontheballot,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
97,happy ramm navami everyone ramnavami ramnavmispecial immigration studyabroad canada visaimmigration studyvisa,POSITIVE,POSITIVE,1.0,0.8,POSITIVE
98,bipartisan group senators introduced bill passed would allow biden administration end title42 emergency immigration order unless biden also declares end covid19 national emergency declaration,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
99,saskatchewan home 72 canada first nations reserve lands scattered throughout province availability wide pieces fertile land canadaimmigration canada immigration canadavisa studyincanada expressentry canadapr visa,POSITIVE,NEUTRAL,0.3666666666666667,0.075,POSITIVE
100,minimum points required qualify australia migrant visa know experts dm us call us 91 80558 04150 visit website australia pr australiapr jobs immigration migration visa visaconsultants apexvisas,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
101,title42 mechanism used public health emergencies want biden declare still public health emergency maybe job work immigration asylum reform immigration publichealth border asylum,POSITIVE,NEGATIVE,0.06666666666666667,0.0,NEUTRAL
102,ask landscapers hard find workers need immigration reform pathway citizenship,POSITIVE,NEGATIVE,0.5416666666666666,-0.2916666666666667,NEGATIVE
103,purpose storytelling catch us extended artandadvocacy immigration immigrationlaw theaterlife fountain theatre,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
104,u worked hard u saved acriminal illegal alien steals identity nothing w b done immigration waaradio,POSITIVE,NEGATIVE,0.5972222222222222,-0.34722222222222227,NEGATIVE
105,rolling deep represent educate reentry looking forward visit exodus excited new immigration know rights partnerships always pleasure see ally,POSITIVE,POSITIVE,0.5348484848484848,0.17045454545454544,POSITIVE
106,know fridayfacts funfacts friday fridayfeelings australia visa immigration migration visaconsultancy apexvisas,NEUTRAL,NEUTRAL,0.0,0.0,NEUTRAL
107,10 million unfilled jobs unemployment rate fell 3 6 near pre pandemic levels agriculture food processors rely immigrant labor demonized amp contributions ignored could reduce rate inflation immigration,POSITIVE,NEGATIVE,0.4,0.1,POSITIVE
108,doocy cannot let smartphones thing go dad let get phone 35 something jenpsaki peterdoocy migrants smartphones immigration fox border,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
109,joe biden listen proposed policies immigration flipflop hypocrites dementiajoe democratsaredestroyingamerica democratsusetobestrongonbordersecurity joebidemisfullofshit shorts via,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
110,sure peter free cell phones everyone peterdoocy jenpsaki immigration migrants border cellphones foxnews watch cltv,POSITIVE,POSITIVE,0.8444444444444444,0.45,POSITIVE
111,reining mass immigration,NEUTRAL,NEUTRAL,0.0,0.0,NEUTRAL
112,may path enlightenment shown lord rama lead purpose quantis consultants wishes happy ram navami ramnavami happyramnavami ramnavami2022 ram immigration visa quantisconsultants,POSITIVE,POSITIVE,1.0,0.8,POSITIVE
113,make transition countries smooth hassle free us let us know dream country settle get visa ready get best visa consultancy services yourrights education info immigration visa citizenship,POSITIVE,POSITIVE,0.525,0.5,POSITIVE
114,white house responds threat texas gov bus illegal migrants c immigration migrants,NEGATIVE,NEGATIVE,0.25,-0.25,NEGATIVE
115,immigration 11 ca residents charged arranging sham marriages submitting green card applications 400 non citizens,POSITIVE,NEGATIVE,0.3,-0.2,NEGATIVE
116,forbritain policies find tax saveourstatues netzero scrapthetvlicence immigration animalwelfare,NEGATIVE,NEUTRAL,0.0,0.0,NEUTRAL
117,turkish police arrested 37 nepalis house istanbul khabarhub immigration nepalisarrestedinturkey greece,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
118,going chaos business leaders worry new border policy hit texas pocketbook clog traffic even border crossings amp report txlege texas migrants immigration txbiz txeconomy,NEGATIVE,NEGATIVE,0.45454545454545453,0.13636363636363635,POSITIVE
119,senator since 2019 never thing immigration except blame democrats even guys wh congress amp senate zippo zilch nothing nada,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
120,immigration pt 6 desiarnaz anyone ever tries hate immigration mention trump family also immigrants brought billions amp billions revenue continued employment decades boy named desiderio cuba desilu startrek,POSITIVE,NEGATIVE,0.65,-0.45,NEGATIVE
121,washington watch help border texas texasisaroguestate immigrants immigration tx lovettorleaveit operationlonestar republicansaretheproblem,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
122,ukraine russian war frightening peak world zionist organization complex rescue immigration operation past thirty years ukraine russia rescue immigration hagoel,POSITIVE,NEGATIVE,0.4125,-0.2625,NEGATIVE
123,pleasure speaking unlocking potential event immigrant journey special thanks parents globeunlocking immigration muralys,POSITIVE,POSITIVE,0.5904761904761905,0.18571428571428572,POSITIVE
124,immigration pt4 desiarnaz missionimpossible amp thetwilightzone also started desilu eventually billions revenue amp countless jobs flourished decades desilu produced fiscally profitable trends sci fi amp action genres startrek desilu scifi,POSITIVE,POSITIVE,0.3,0.05,POSITIVE
125,grow practice using immicompliance immigration case management software immigration casemanagement lawfirms immigrationattorneys software immicompliance,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
126,still waiting see melania immigration records promised lies melania immigration,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
127,immigration pt3 desiarnaz desilu contributions numerous hard give adequate credit desilu also brought us startrek tv brought us profitable star trek ventures tv film amp video games decades missionimpossible cuba,POSITIVE,POSITIVE,0.45833333333333326,0.013888888888888876,POSITIVE
128,immigration pt2 desiarnaz went perform broadway eventually movies television started desilu productions wife lucille might heard show love lucy desilu lucilleball ilovelucy startrek missionimpossible,POSITIVE,POSITIVE,0.6,0.5,POSITIVE
129,immigration let tell one reason desiderio arnaz de acha 3rd aka desiarnaz cuban immigrant miami started latin salsa orchestra popularizing conga line dance move nightclubs wherever played cuban salsa miami,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
130,trucks delivering products mexico facing hours long waits ports entry thanks abbott latest immigration crackdown texas southtexas gregabbott immigration bordercrossings supplychain economy texasrepublicans,POSITIVE,POSITIVE,0.5,0.21666666666666667,POSITIVE
131,immigration wronghelphurts ktla los angeles 11 ca residents charged arranging sham marriages submitting green card applications 400 non citizens,POSITIVE,NEGATIVE,0.3,-0.2,NEGATIVE
132,town mexico survives entirely money sent back u migrants immigration immigrants immigrationreform freedmen fba mexico,POSITIVE,POSITIVE,0.3125,0.0,NEUTRAL
133,yes much changed since robertguest wrote bordlerlesseconomics much wrote still essential review immigration economics culture,POSITIVE,POSITIVE,0.2333333333333333,0.13333333333333333,POSITIVE
134,tx coming party even win issue immigration btw move west towards tijuana find totally different group people ukrainian refugees ohh want go fit crazy narrative,POSITIVE,POSITIVE,0.575,0.15000000000000005,POSITIVE
135,currently reading evening hero forthcoming amp prep ing monday interview w author appear millions abt medicine immigration big questions pre order org,POSITIVE,POSITIVE,0.25,0.0,NEUTRAL
136,like tom mcclintock silence immigration issue 2003,NEGATIVE,POSITIVE,0.0,0.0,NEUTRAL
137,putting migration issue right side via globeunlocking cdnpoli immigration immigrantstories refugees migrants,NEUTRAL,NEUTRAL,0.5357142857142857,0.2857142857142857,POSITIVE
138,fact war torn ukrainian refugees apply enter u fentanyl dealers human traffickers terrorists freely cross southern border says biden failed immigration policy title42 must extended permanent solution,NEGATIVE,NEGATIVE,0.1,-0.125,NEGATIVE
139,please post open 7 days week immigraton needs 9 00 6 p cst call us right schedule consultation 262 764 5036 p represent clients worldwide immigration visa studyabroad immigrationlawyer,POSITIVE,POSITIVE,0.5178571428571428,0.14285714285714285,POSITIVE
140,securethetribe share securethetribe savemasontn ab3121 reparations goldrush book children education california immigration moratorium,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
141,come america thomas sowell immigration immigration via,NEUTRAL,NEUTRAL,0.0,0.0,NEUTRAL
142,american negro migrant story darealprisonart prison prisonart poetry migration immigration poem poetrycommunity artist blackartist america blackamerica follow us,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
143,need birth certificate translation immigration translation,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
144,bipartisan group senators want start formally convening meetings try restart immigration reform efforts senate returns washington c april break,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
145,hey good question hey stopping mitchmcconnell immigration bordercrisis,POSITIVE,POSITIVE,0.6000000000000001,0.7,POSITIVE
146,stopping using homeless vets prop device every time gqp talk immigration amp actually something help homeless vets reason fucking deserve ffs vets homeless immigration,POSITIVE,NEGATIVE,0.45,-0.3,NEGATIVE
147,president biden livid office 2 months amp already crisis sw border thousands migrant children jammed unsanitary border patrol stations immigration,NEGATIVE,NEGATIVE,0.6,-0.1,NEGATIVE
148,veteran working bring former afghan interpreter extended family halifax cbc news afghanistan refugees immigration veterans canada novascotia military,POSITIVE,NEUTRAL,0.03333333333333333,-0.03333333333333333,NEGATIVE
149,border war immigration texas ag paxton invites legal fight biden admin busing migrants dc daring immigration bordersecurity,POSITIVE,NEGATIVE,0.2,0.2,POSITIVE
150,last hike immigration fees done 2020 ircc announced time fees adjusted every 2 years factor inflation full list old new fees effective april 30 2022,NEGATIVE,POSITIVE,0.41424242424242425,0.23727272727272725,POSITIVE
151,snollygosters quacks choose term eh one thing goverment mind national interest plan vips sewage levelup tax fraud energy nhs immigration defense dover,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
152,catherine 58 relates murder daughter marion algerian illegal immigrant killed stabbing 11 times buried garden jevotezemmour zemmour france immigration,NEGATIVE,NEGATIVE,0.43333333333333335,-0.4333333333333333,NEGATIVE
153,dobbins vondy c rowen immigration america grew america remember obsessed perversion christianity fanaticism worship guns unable see diversity strength,POSITIVE,POSITIVE,0.75,-0.5,NEGATIVE
154,mandatory use electronic system travel authorization visitors visa immigration waiver program immigrationlaw,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
155,info calendar photos jackie andrade immigrantstories storytelling immigrantart photographyexhibit paintings singer immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
156,hearing lot lately let see order government really gets job done provincial elections less two months away give canada doctors engineers amp skilled professionals onpoli cdnpoli immigration immigrants,NEGATIVE,NEUTRAL,0.3416666666666667,0.05833333333333335,POSITIVE
157,may 23rd title42 lifted immigration advocates welcome move say overdue concerned biden administration handle fallout hosts discuss potential impact ongoing crisis southernborder,POSITIVE,NEGATIVE,0.95,0.4,POSITIVE
158,alabama hills california ciudadania greencard citizenship sentri inmigracion immigration peticionesfamiliares tarjetaderesidencia tijuana sandiego clasesdeciudadania chulavista ciudadaniaya globalentry ciudadaniaenespanol tramitedeciudadania mica,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
159,white people america descended immigrants factual statement immigration usa bidenbordercrisis,NEGATIVE,NEUTRAL,0.0,0.0,NEUTRAL
160,nancy pelosi said buildbackbetter toxic kim kardashian said toxic workplace got 15hr medicareforall freecollege immigration policy greennewdeal 3 americans per day die policebrutality still dying amp struggling covid,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
161,thousands ukrainian refugees arrive u mexico border allowed brown people fleeing cartel gang violence abject poverty white people fleeing rusian violence immigration immigrants,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
